n,roc_auc,pr_auc,acc,precision,recall,f1,fold,group
1472,0.5383395233673786,0.9792071813997808,0.8620923913043478,0.9775367931835787,0.8788300835654597,0.9255592225889255,1,frameshift
8572,0.7219527448320495,0.041490443510461814,0.9139057396173589,0.054285714285714284,0.3333333333333333,0.09336609336609336,1,intronic
3926,0.613273971029473,0.3294415260635193,0.7241467142129394,0.3508771929824561,0.1935483870967742,0.2494802494802495,1,missense
1187,0.5762445887445887,0.976256774517191,0.3984835720303286,0.9783080260303688,0.3904761904761905,0.5581683168316832,1,nonsense/stop_gained
3192,0.7282743714040996,0.7767022921829003,0.6030701754385965,0.8167330677290837,0.43089858118759855,0.5641554867561059,1,other
12225,0.5324818682787584,0.00340746289893502,0.9571370143149285,0.003929273084479371,0.10526315789473684,0.007575757575757576,1,synonymous
2124,0.47426691223640915,0.9878604264584159,0.8498116760828626,0.9890230515916575,0.857686815801999,0.9186846800917665,2,frameshift
9931,0.7701255287215172,0.06398829760154354,0.9015204913905951,0.07030430220356768,0.42138364779874216,0.12050359712230216,2,intronic
4062,0.6258927017549905,0.33614023284961353,0.7351058591826687,0.37437603993344426,0.24324324324324326,0.2948885976408912,2,missense
1525,0.6765450861195542,0.9924737644200279,0.45049180327868854,0.992603550295858,0.4461436170212766,0.6155963302752293,2,nonsense/stop_gained
1584,0.7738158870974176,0.762605741256477,0.6717171717171717,0.7920792079207921,0.49079754601226994,0.6060606060606061,2,other
14404,0.7482492705293873,0.003126699425993967,0.9491807831158011,0.004120879120879121,0.3,0.008130081300813009,2,synonymous
3919,0.6173954116059379,0.9970377240862622,0.8132176575657055,0.9956195244055068,0.8158974358974359,0.8968432919954904,3,frameshift
12403,0.7782948213859135,0.09131143750620457,0.9155849391276304,0.10080645161290322,0.39215686274509803,0.16038492381716118,3,intronic
5256,0.6376099734727763,0.4589244864493491,0.678082191780822,0.5146396396396397,0.2660069848661234,0.35072908672294706,3,missense
2385,0.5374017673720938,0.9900173868079379,0.42851153039832285,0.9911242603550295,0.42602797795676134,0.5959086866291136,3,nonsense/stop_gained
1881,0.7801447222784237,0.8237734498283931,0.6289207868155237,0.8489984591679507,0.4787141615986099,0.6122222222222222,3,other
18626,0.7357763161300985,0.0034430240651420053,0.9394394931815742,0.0036068530207394047,0.14814814814814814,0.007042253521126761,3,synonymous
2150,0.581474268177526,0.9878409946583078,0.8209302325581396,0.9881690140845071,0.8281397544853636,0.9011045466221423,4,frameshift
13375,0.7259521024017618,0.03597372051598245,0.9169345794392524,0.0425531914893617,0.26666666666666666,0.07339449541284404,4,intronic
4928,0.6934128869415914,0.6002786262524703,0.7061688311688312,0.6888633754305397,0.3376477208778841,0.45317220543806647,4,missense
1667,0.6265076477326326,0.9939310368051126,0.4505098980203959,0.9932705248990579,0.4475439660400243,0.617056856187291,4,nonsense/stop_gained
1934,0.8094654740299023,0.8197106423357106,0.7016546018614271,0.8706240487062404,0.5375939849624061,0.6647298082510168,4,other
19280,0.6120343442736462,0.0052400196643754724,0.9435165975103734,0.003727865796831314,0.16666666666666666,0.007292616226071103,4,synonymous
3518,0.511058055424606,0.9838982422096092,0.8635588402501422,0.9850309144158802,0.8746027159780411,0.9265381083562901,5,frameshift
11053,0.7171634012598378,0.056206854397510234,0.9025603908441148,0.0720164609053498,0.2857142857142857,0.11503697617091208,5,intronic
5312,0.6847684041426351,0.4338645973624005,0.7494352409638554,0.484393063583815,0.32131901840490795,0.3863531581373905,5,missense
2046,0.5832834698169012,0.9874961032968853,0.436950146627566,0.9865016872890888,0.43480416460089244,0.6035788024776325,5,nonsense/stop_gained
2151,0.7782826505567843,0.8119063761960674,0.6448163644816365,0.8480662983425414,0.4842271293375394,0.6164658634538153,5,other
15191,0.6965312029917474,0.0028454313868605456,0.9496412349417418,0.0013422818791946308,0.045454545454545456,0.002607561929595828,5,synonymous
